Lista de features excluídas por não apresentarem relação estatisticamente significativa com aleitamento_materno_exclusivo (p≥0.05)
====================================================================================================

Total de features excluídas: 125

Testes aplicados nas features excluídas:
- Chi-quadrado: 73
- Mann-Whitney U: 52

Feature                                  | Classificação | Teste Aplicado                  | p-valor
m10_quem_divide                          | Qualitativa   | Chi-quadrado                   | 0.74507
vd_ien_decimos                           | Qualitativa   | Chi-quadrado                   | 0.80754
o03_frutas_variedade                     | Qualitativa   | Chi-quadrado                   | 0.81553
n08_salgadinhos                          | Qualitativa   | Chi-quadrado                   | 0.84257
datablb                                  | Quantitativa  | Mann-Whitney U                 | 0.85817
h03_altura                               | Quantitativa  | Mann-Whitney U                 | 0.86049
n09_balas                                | Qualitativa   | Chi-quadrado                   | 0.87675
q03_quais_beneficios                     | Qualitativa   | Chi-quadrado                   | 0.89317
i000b_data_do_dia                        | Quantitativa  | Mann-Whitney U                 | 0.92837
t02_peso_medida1                         | Quantitativa  | Mann-Whitney U                 | 0.94038
m01_costuma_cozinhar                     | Qualitativa   | Chi-quadrado                   | 0.94580
k07_peso_final                           | Quantitativa  | Mann-Whitney U                 | 0.96430
k06_peso_engravidar                      | Quantitativa  | Mann-Whitney U                 | 0.96798
peso_crianca                             | Quantitativa  | Mann-Whitney U                 | 0.97123
peso_crianca_y_10                        | Quantitativa  | Mann-Whitney U                 | 0.97123
peso_crianca_y_12                        | Quantitativa  | Mann-Whitney U                 | 0.97123
peso_crianca_y_9b                        | Quantitativa  | Mann-Whitney U                 | 0.97123
peso_crianca_y_9a                        | Quantitativa  | Mann-Whitney U                 | 0.97123
peso_crianca_y_8                         | Quantitativa  | Mann-Whitney U                 | 0.97123
peso_crianca_y_7                         | Quantitativa  | Mann-Whitney U                 | 0.97123
peso_crianca_y_6                         | Quantitativa  | Mann-Whitney U                 | 0.97123
peso_crianca_y_5                         | Quantitativa  | Mann-Whitney U                 | 0.97123
peso_crianca_y_4                         | Quantitativa  | Mann-Whitney U                 | 0.97123
peso_crianca_y_3                         | Quantitativa  | Mann-Whitney U                 | 0.97123
peso_crianca_y_11                        | Quantitativa  | Mann-Whitney U                 | 0.97123
